"","match_id","match_date","kick_off","home_score","away_score","match_status","match_status_360","last_updated","last_updated_360","match_week","competition.competition_id","competition.country_name","competition.competition_name","season.season_id","season.season_name","home_team.home_team_id","home_team.home_team_name","home_team.home_team_gender","home_team.home_team_group","home_team.country.id","home_team.country.name","away_team.away_team_id","away_team.away_team_name","away_team.away_team_gender","away_team.away_team_group","away_team.country.id","away_team.country.name","metadata.data_version","metadata.shot_fidelity_version","metadata.xy_fidelity_version","competition_stage.id","competition_stage.name","stadium.id","stadium.name","stadium.country.id","stadium.country.name","referee.id","referee.name","referee.country.id","referee.country.name"
"1",3879863,"2016-05-08","15:00:00.000",1,1,"available","unscheduled","2023-07-24T07:00:20.863653",NA,37,12,"Italy","Serie A",27,"2015/2016",228,"Atalanta","male",NA,112,"Italy",230,"Udinese","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",4954,"Gewiss Stadium",112,"Italy",419,"Nicola Rizzoli",112,"Italy"
"2",3879773,"2016-03-06","16:00:00.000",2,0,"available","unscheduled","2023-07-09T16:50:19.349248",NA,28,12,"Italy","Serie A",27,"2015/2016",291,"Frosinone","male",NA,112,"Italy",230,"Udinese","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",1001324,"Stadio Comunale Matusa",112,"Italy",419,"Nicola Rizzoli",112,"Italy"
"3",3879847,"2016-04-30","18:00:00.000",1,5,"available","unscheduled","2023-08-09T05:04:05.234384",NA,36,12,"Italy","Serie A",27,"2015/2016",230,"Udinese","male",NA,112,"Italy",241,"Torino","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",385,"Dacia Arena",112,"Italy",252,"Maurizio Mariani",112,"Italy"
"4",3879862,"2016-05-08","20:45:00.000",1,2,"available","unscheduled","2023-07-24T07:01:17.104064",NA,37,12,"Italy","Serie A",27,"2015/2016",241,"Torino","male",NA,112,"Italy",227,"Napoli","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",390,"Stadio Olimpico Grande Torino",112,"Italy",266,"Antonio Damato",112,"Italy"
"5",3879817,"2016-04-16","20:45:00.000",2,0,"available","unscheduled","2023-08-01T14:29:19.944772",NA,33,12,"Italy","Serie A",27,"2015/2016",238,"Inter Milan","male",NA,112,"Italy",227,"Napoli","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",388,"Stadio Giuseppe Meazza    ",112,"Italy",268,"Gianluca Rocchi",112,"Italy"
"6",3879825,"2016-04-17","18:00:00.000",2,0,"available","unscheduled","2023-07-05T15:03:48.770807",NA,33,12,"Italy","Serie A",27,"2015/2016",236,"Lazio","male",NA,112,"Italy",290,"Empoli","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",381,"Estadio Olímpico",112,"Italy",1008249,"Angelo Cervellera",112,"Italy"
"7",3879750,"2016-02-21","16:00:00.000",2,3,"available","unscheduled","2023-07-30T11:58:04.304243",NA,26,12,"Italy","Serie A",27,"2015/2016",228,"Atalanta","male",NA,112,"Italy",239,"Fiorentina","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",4954,"Gewiss Stadium",112,"Italy",1940,"Domenico Celi",112,"Italy"
"8",3879567,"2015-10-17","18:00:00.000",3,1,"available","unscheduled","2023-07-30T12:58:29.091199",NA,8,12,"Italy","Serie A",27,"2015/2016",229,"AS Roma","male",NA,112,"Italy",290,"Empoli","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",381,"Estadio Olímpico",112,"Italy",250,"Piero Giacomelli",112,"Italy"
"9",3879785,"2016-03-13","21:45:00.000",2,0,"available","unscheduled","2023-06-26T16:47:15.761843",NA,29,12,"Italy","Serie A",27,"2015/2016",236,"Lazio","male",NA,112,"Italy",228,"Atalanta","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",381,"Estadio Olímpico",112,"Italy",261,"Marco Guida",112,"Italy"
"10",3879705,"2016-01-24","16:00:00.000",0,2,"available","unscheduled","2023-08-04T12:00:50.957739",NA,21,12,"Italy","Serie A",27,"2015/2016",232,"Sassuolo","male",NA,112,"Italy",240,"Bologna","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",383,"MAPEI Stadium - Città del Tricolore",112,"Italy",1008249,"Angelo Cervellera",112,"Italy"
"11",3879628,"2015-11-28","21:45:00.000",4,1,"available","unscheduled","2023-07-08T21:59:54.659124",NA,14,12,"Italy","Serie A",27,"2015/2016",243,"AC Milan","male",NA,112,"Italy",234,"Sampdoria","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",388,"Stadio Giuseppe Meazza    ",112,"Italy",262,"Daniele Doveri",112,"Italy"
"12",3879665,"2015-12-20","19:00:00.000",2,4,"available","unscheduled","2023-06-21T13:46:12.485342",NA,17,12,"Italy","Serie A",27,"2015/2016",291,"Frosinone","male",NA,112,"Italy",243,"AC Milan","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",1001324,"Stadio Comunale Matusa",112,"Italy",258,"Luca Banti",112,"Italy"
"13",3879699,"2016-01-24","16:00:00.000",2,4,"available","unscheduled","2023-06-21T16:15:53.864191",NA,21,12,"Italy","Serie A",27,"2015/2016",234,"Sampdoria","male",NA,112,"Italy",227,"Napoli","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",387,"Stadio Comunale Luigi Ferraris",112,"Italy",269,"Daniele Orsato",112,"Italy"
"14",3879703,"2016-01-24","16:00:00.000",4,1,"available","unscheduled","2023-07-09T05:54:20.572994",NA,21,12,"Italy","Serie A",27,"2015/2016",236,"Lazio","male",NA,112,"Italy",231,"Chievo","male",NA,112,"Italy","1.1.0","2","2",1,"Regular Season",381,"Estadio Olímpico",112,"Italy",257,"Gianpaolo Calvarese	",112,"Italy"
